,negativo_score
ainda não recebi produto,0.00281007943178057
produto não foi entregue,0.002368663536250701
não recebi meu produto,0.001944429942741469
meu dinheiro de volta,0.0013088037428400003
ainda não foi entregue,0.001290408704769404
até agora não recebi,0.0011412356602524855
até momento não recebi,0.0010577190233845353
quero meu dinheiro de,0.0008594872754448761
produto ainda não foi,0.0008341483337425364
ainda não recebi meu,0.0008265314108234819
produto veio com defeito,0.0008628847253852191
produto ainda não chegou,0.0008026798678408495
não recebi produto ainda,0.0007815860504649374
produto de péssima qualidade,0.0006837916687006671
ainda nao recebi produto,0.0006027844519929504
meu produto não chegou,0.0005749598126769367
só veio uma,0.0005613133289350529
meu produto não foi,0.0005380718092934982
não recebi produto até,0.0005230233721791946
entrar em contato com,0.0005059548354538514
produto não funciona,0.0004959951440151513
nao recebi meu produto,0.000496511052667227
não recebi produto nem,0.0004798642142361328
agora não recebi produto,0.0004762100203038453
não foi entregue ainda,0.0004595761941593498
chegou somente,0.00046969720326510455
momento não recebi produto,0.0004548552540457374
entrei em contato com,0.00050047684173373
nao recomendo,0.00044342953441309403
gostaria de saber quando,0.00042542635069480763
não recebi produto não,0.00042304757135675603
até hoje não recebi,0.00043041430069762425
não recebi meu pedido,0.00041217220634555087
mais de um mês,0.00040651904854056424
não recebi produto que,0.00036465069788919544
não gostei do produto,0.0004004907661378223
gostaria de saber como,0.00036711114240451504
até agora não chegou,0.0003642654279222902
não recebi meus produtos,0.00033942069483480476
um produto que não,0.00035768019016900465
gostaria de saber que,0.000353436162953112
muita demora na entrega,0.00036195938016572016
não foi entregue produto,0.00033739567676348297
meu produto ainda não,0.0003255385245588043
não recomendaria,0.0003431750338410385
nao funciona,0.00033778775924276256
entrega atrasada,0.0003173510494479208
foi entregue até momento,0.00031729467372604216
12 2017,0.0003354628237845042
além de não,0.00031354534544900825
produto que recebi,0.00031542798734276626
não foi entregue até,0.0003106008441153922
produto veio quebrado,0.00030612455088128233
pois ainda não recebi,0.0002991237684844348
vendedor não,0.00034299933342160323
sem comentários,0.00045687549398713075
produto diferente do que,0.00029509170186241577
gostaria de saber se,0.000330767702289968
horrivel,0.00030420779948815246
uma porcaria,0.00028573356199811535
aguardando entrega do produto,0.0002919279262502262
produto nao foi entregue,0.0002847964166149645
não indico,0.00029272296657774843
não comprem,0.00027969493867995585
recebi meu produto ainda,0.0002782824839412649
faltou cadeiras,0.00027649301956998934
já entrei em contato,0.0003084598466086052
uma vergonha,0.00028935228148659314
produto de baixa qualidade,0.0002909724510307527
targaryen não,0.0002942771828300106
não recebi os produtos,0.0002708770954195025
estou aguardando entrega do,0.00027066184666573655
duas unidades do produto,0.0002807675469791241
diferente do que comprei,0.0002799243226744942
ainda não chegaram,0.00026624347362696294
até momento não foi,0.0002653660899333223
já passou do prazo,0.00026169471817542026
apenas um dos produtos,0.0002592967556799756
chegou apenas uma,0.0002589425037624675
cancelei pedido,0.0002636416644795699
esclarecimentos,0.00025331614898014453
só me entregaram,0.00025313504195106684
não confiavel,0.0002527100620456775
estou no aguardo de,0.0002526132235474712
não foi entregue não,0.0002524677401471886
produto veio incompleto,0.0002524444049188916
produto veio sem,0.00029491449471228087
vieram com,0.00026800239116590505
não entraram em contato,0.00024953966383043605
ainda não obtive resposta,0.00025491688512958426
prazo de entrega muito,0.0003834831815030995
da targaryen,0.0003145017761636061
comprei paguei por,0.00024721646682991725
tentei entrar em contato,0.000246202733921601
produto nao entregue,0.00024611545143941063
de entrega muito longo,0.0002769830570250562
veio com defeito não,0.00024534466337273927
providencias,0.0002565540372173979
momento não foi entregue,0.00024428935958846455
um produto não,0.0002496485648151677
um produto recebi outro,0.0002613679083339681
não entregaram produto,0.00026032718690104366
cortina não,0.00023997131055875881
recebi produto até momento,0.00023983741921797749
nao consigo,0.0002478052261981207
tentando entrar em contato,0.0002385389648781597
passou prazo de entrega,0.00023793301968076254
soltando,0.00025201055317780906
comprei dois produtos só,0.00023669263106536993
nao recebi mercadoria,0.00023663235726783217
mercadoria ainda não chegou,0.00023549502168973498
prazo de entrega já,0.00023466301326433204
kd,0.00023464084421124306
que ainda não recebi,0.0002450316277478341
ainda por cima,0.00023389325234352508
somente um foi entregue,0.00023354384376417966
balanças,0.00024825317769969587
quero reembolso,0.0002312346062181917
veio quebrada,0.00026221428919938583
aguardo contato,0.00023003162000534425
prata,0.00026726834273286024
frete muito caro,0.00035064282828488254
produto chegou quebrado,0.00022830642697203635
torto,0.00024283046791335515
não consigo falar com,0.00024508524575552203
produtos só recebi um,0.0002254239609288969
em contato com lannister,0.00022457279132486753
no rastreamento,0.00023817928312382038
uma parte da compra,0.0002242842936547497
mas até agora não,0.00022395402397011648
não recebi minha mercadoria,0.00024172784842355674
ainda não recebi minha,0.00024338873838721233
inox,0.0002697295137831378
não serviu,0.0002462903571336766
não recebi kit,0.0002317172925013346
que não era,0.0002444820448771253
sobre ocorrido,0.00022022684943823396
110v,0.0002321775454970177
até momento nada,0.0002196121070531493
pedido não foi entregue,0.0002292248230653082
momento não recebi meu,0.00022616260960824287
